This file contains the S&P 500 straddle returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,,,,,,,
The dates are in YYYYMMDD format,,,,,,,,,,,,
r_K^{straddle} gives the daily return of a long constant-maturity at the money straddle strategy with target maturity K months,,,,,,,,,,,,
r_K^{short straddle} gives the daily return of a short straddle strategy assuming a margin requirement equal to 20% of the current S&P 500 index level,,,,,,,,,,,,
Returns are in percent,,,,,,,,,,,,
,,,,,,,,,,,,
Date,r_1^{straddle},r_2^{straddle},r_3^{straddle},r_6^{straddle},r_9^{straddle},r_12^{straddle},r_1^{short straddle},r_2^{short straddle},r_3^{short straddle},r_6^{short straddle},r_9^{short straddle},r_12^{short straddle}
19960730,1.252,2.393,4.633,2.029,2.105,2.121,-0.249,-0.681,-1.558,-0.933,-1.156,-1.323
19960731,-0.474,-2.159,-2.185,-0.403,-0.409,-0.455,0.09,0.59,0.733,0.183,0.225,0.285
19960801,11.702,6.639,4.771,2.336,1.572,1.623,-2.149,-1.777,-1.556,-1.039,-0.855,-1.008
19960802,6.745,2.562,2.7,1.234,-0.141,-0.649,-1.181,-0.652,-0.862,-0.524,0.073,0.388
19960805,-0.443,0.82,0.146,-0.833,0.318,0.596,0.067,-0.189,-0.042,0.341,-0.16,-0.343
19960806,-0.982,0.387,0.951,0.121,0.18,0.526,0.16,-0.095,-0.284,-0.05,-0.092,-0.307
19960807,-5.534,-2.937,-1.668,-0.457,-0.654,-0.718,0.869,0.698,0.485,0.188,0.333,0.42
19960808,-4.353,-2.607,-1.474,-0.23,-0.282,-0.282,0.659,0.605,0.423,0.094,0.143,0.163
19960809,-3.814,-1.473,-1.293,-1.598,-1.118,-0.8,0.566,0.337,0.368,0.655,0.566,0.464
19960812,0.431,-0.767,-1.083,-0.807,0.297,0.653,-0.065,0.182,0.315,0.327,-0.149,-0.377
19960813,2.581,1.358,1.279,0.369,-0.666,-0.726,-0.406,-0.305,-0.353,-0.148,0.335,0.421
19960814,-1.494,-0.015,-0.032,-0.097,0,0,0.257,0.003,0.009,0.04,0,0
19960815,-4.341,-2.371,-1.903,-0.841,-0.152,-0.049,0.696,0.545,0.539,0.342,0.077,0.029
19960816,-4.264,-1.815,-1.062,-0.748,-0.239,0.106,0.664,0.411,0.297,0.303,0.121,-0.062
19960819,-1.956,-1.275,-0.88,-1.051,-1.179,-0.776,0.282,0.282,0.24,0.419,0.593,0.449
19960820,-4.055,0,0,-0.685,-0.316,-0.54,0.603,0,0,0.27,0.157,0.311
19960821,-3.207,0,0,-1.205,-1.247,-0.817,0.466,0,0,0.483,0.625,0.468
19960822,3.344,-3.753,-8.388,-0.077,0.698,0.542,-0.47,0.826,2.591,0.031,-0.346,-0.309
19960823,-2.319,-0.647,1.248,0.835,0.125,-0.175,0.321,0.136,-0.335,-0.32,-0.059,0.097
19960826,3.598,3.459,-0.613,0.257,-0.416,-0.669,-0.499,-0.736,0.169,-0.101,0.202,0.375
19960827,-2.776,0.618,1.581,0.606,2.254,2.206,0.425,-0.141,-0.444,-0.244,-1.102,-1.239
19960828,-2.246,-1.289,0.293,0.655,-1.981,-1.6,0.338,0.295,-0.083,-0.262,0.986,0.916
19960829,2.656,1.397,-0.448,-0.234,0.717,2.155,-0.4,-0.319,0.129,0.095,-0.351,-1.219
19960830,-0.34,0.914,0.679,-0.126,-0.656,-2.309,0.054,-0.217,-0.201,0.052,0.334,1.368
19960903,3.408,1.104,1.907,0.24,1.39,1.183,-0.567,-0.276,-0.594,-0.103,-0.715,-0.697
19960904,-0.565,0.733,1.076,2.148,0.675,0.792,0.099,-0.182,-0.333,-0.907,-0.351,-0.466
19960905,4.582,3.235,2.046,0.233,-0.449,0.256,-0.81,-0.817,-0.637,-0.101,0.236,-0.152
19960906,-5.561,-2.395,-1.71,-0.269,-1.989,-2.055,1.072,0.655,0.564,0.12,1.053,1.251
19960909,1.945,-0.277,-0.562,1.227,1.145,1.756,-0.32,0.068,0.172,-0.521,-0.587,-1.021
19960910,-2.399,-1.589,-1.485,-1.702,-0.343,-0.666,0.377,0.377,0.441,0.719,0.174,0.388
19960911,-0.773,0.086,-0.114,1.396,0.806,0.431,0.121,-0.02,0.034,-0.581,-0.408,-0.249
19960912,5.158,2.203,1.615,1.746,0.479,1.356,-0.784,-0.518,-0.468,-0.722,-0.243,-0.785
19960913,10.42,6.214,3.673,2.866,4.063,2.708,-1.6,-1.45,-1.059,-1.186,-2.06,-1.583
19960916,1.645,-0.601,0.661,0.053,-0.849,-1.214,-0.235,0.134,-0.184,-0.021,0.424,0.695
19960917,-2.397,-0.8,-1.216,1.046,2.86,1.923,0.379,0.183,0.345,-0.421,-1.418,-1.086
19960918,-0.021,0.412,0.621,-0.202,-0.525,-0.243,0.003,-0.094,-0.175,0.082,0.269,0.14
19960919,-5.747,0.054,0.734,0.227,0.179,0.159,0.917,-0.013,-0.216,-0.095,-0.092,-0.092
19960920,1.648,-1.294,1.544,-0.872,-0.008,0,-0.252,0.295,-0.434,0.357,0.004,0
19960923,1.377,-0.448,-0.637,0.449,-0.535,0.405,-0.205,0.101,0.182,-0.182,0.273,-0.233
19960924,-2.933,-0.237,0.358,1.058,-0.368,-0.593,0.465,0.055,-0.103,-0.434,0.188,0.352
19960925,-2.803,-2.262,-1.553,-0.78,1.099,1.382,0.44,0.526,0.452,0.325,-0.561,-0.818
19960926,-0.289,-0.931,0.456,1.845,-0.239,-1.073,0.046,0.214,-0.131,-0.77,0.124,0.644
19960927,-3.985,-0.937,-0.71,-1.246,-0.377,0.412,0.618,0.215,0.206,0.526,0.195,-0.245
19960930,2.338,1.801,1.062,0.536,1.537,1.69,-0.363,-0.412,-0.308,-0.228,-0.792,-1.01
19961001,0.701,-0.761,-0.136,0.141,1.172,1.726,-0.117,0.182,0.04,-0.06,-0.616,-1.05
19961002,2.342,1.277,1.066,-1.519,0.036,1.511,-0.376,-0.298,-0.311,0.649,-0.019,-0.888
19961003,-1.678,-1.267,-1.465,0.69,-0.343,-0.3,0.27,0.296,0.422,-0.289,0.18,0.18
19961004,-0.169,-0.764,-0.677,0.912,1.817,0.312,0.027,0.178,0.193,-0.387,-0.954,-0.187
19961007,-1.708,-0.201,-0.152,-0.575,-0.028,-0.114,0.242,0.043,0.041,0.226,0.014,0.067
19961008,-0.675,0.737,1.24,1.116,-0.712,-0.545,0.1,-0.16,-0.333,-0.439,0.355,0.32
19961009,-3.322,-1.88,-1.394,-0.987,0.073,-0.621,0.51,0.423,0.392,0.412,-0.036,0.365
19961010,0.147,-1.079,-1.888,-1.023,-0.112,-0.454,-0.022,0.246,0.538,0.426,0.056,0.269
