date,factor,hump_value,mid_maturity,short_maturity,long_maturity
2001-05-29,gamma0,1.0982527399419443e-05,6m,1m,12m
2001-05-30,gamma0,3.1157101684752524e-05,6m,1m,12m
2001-05-31,gamma0,-2.586875546855272e-06,6m,1m,12m
2001-06-01,gamma0,-4.609480270940904e-05,6m,1m,12m
2001-06-04,gamma0,-2.3476374195960998e-05,6m,1m,12m
2001-06-05,gamma0,-9.815758507130351e-05,6m,1m,12m
2001-06-06,gamma0,-3.401965979111111e-05,6m,1m,12m
2001-06-07,gamma0,-9.565842370133193e-05,6m,1m,12m
2001-06-08,gamma0,-0.0001052463085516356,6m,1m,12m
2001-06-20,gamma0,2.8758796152856595e-05,6m,1m,12m
2001-06-21,gamma0,-3.6131502230628447e-06,6m,1m,12m
2001-06-22,gamma0,3.232036810262616e-05,6m,1m,12m
2001-06-25,gamma0,9.306526665303238e-05,6m,1m,12m
2001-06-26,gamma0,9.196068320561619e-05,6m,1m,12m
2001-06-27,gamma0,6.574674004553274e-05,6m,1m,12m
2001-06-28,gamma0,5.955380602329622e-05,6m,1m,12m
2001-06-29,gamma0,-3.147061314780107e-05,6m,1m,12m
2001-07-02,gamma0,1.1468224135585803e-05,6m,1m,12m
2001-07-03,gamma0,3.0139867938982245e-05,6m,1m,12m
2001-07-05,gamma0,6.63858856289876e-05,6m,1m,12m
2001-07-06,gamma0,0.00011422755704777065,6m,1m,12m
2001-07-09,gamma0,0.00013907440633034236,6m,1m,12m
2001-07-10,gamma0,0.00017543169755352504,6m,1m,12m
2001-07-11,gamma0,0.00015074517587564118,6m,1m,12m
2001-07-12,gamma0,9.463859048978806e-05,6m,1m,12m
2001-07-13,gamma0,2.3071577309941243e-05,6m,1m,12m
2001-07-18,gamma0,0.00015059234328396865,6m,1m,12m
2001-07-19,gamma0,7.015166976948209e-05,6m,1m,12m
2001-07-20,gamma0,7.538640265315394e-05,6m,1m,12m
2001-07-23,gamma0,0.00010996537271326618,6m,1m,12m
2001-07-24,gamma0,0.00012190838422397669,6m,1m,12m
2001-07-25,gamma0,7.897116932015485e-05,6m,1m,12m
2001-07-26,gamma0,6.113862937894883e-05,6m,1m,12m
2001-07-27,gamma0,3.299794849799031e-05,6m,1m,12m
2001-07-30,gamma0,5.1682262140624946e-05,6m,1m,12m
2001-07-31,gamma0,3.575214702094552e-05,6m,1m,12m
2001-08-01,gamma0,-3.603345032136286e-05,6m,1m,12m
2001-08-02,gamma0,-7.427242582028111e-06,6m,1m,12m
2001-08-03,gamma0,-2.6407590479090428e-05,6m,1m,12m
2001-08-06,gamma0,6.041621016597017e-05,6m,1m,12m
2001-08-07,gamma0,1.4774664708120172e-05,6m,1m,12m
2001-08-08,gamma0,8.670201966048828e-06,6m,1m,12m
2001-08-09,gamma0,1.120660176404174e-05,6m,1m,12m
2001-08-10,gamma0,-1.842190256043103e-05,6m,1m,12m
2001-08-22,gamma0,2.0112641008662447e-05,6m,1m,12m
2001-08-23,gamma0,-1.6537140791215062e-05,6m,1m,12m
2001-08-24,gamma0,-7.109491157877466e-05,6m,1m,12m
2001-08-27,gamma0,-4.59870852020998e-05,6m,1m,12m
2001-08-28,gamma0,3.235298174614826e-07,6m,1m,12m
2001-08-29,gamma0,2.3964809797425652e-05,6m,1m,12m
2001-08-30,gamma0,0.00010843487428710891,6m,1m,12m
2001-08-31,gamma0,7.150835292045879e-05,6m,1m,12m
2001-09-04,gamma0,0.00017712944834547882,6m,1m,12m
2001-09-05,gamma0,0.0001495497652938735,6m,1m,12m
2001-09-06,gamma0,0.00025621144781220047,6m,1m,12m
2001-09-07,gamma0,0.0003003713205679117,6m,1m,12m
2001-09-10,gamma0,0.00026556304696453135,6m,1m,12m
2001-09-19,gamma0,0.00042541970502196145,6m,1m,12m
2001-09-20,gamma0,0.0006637655586037935,6m,1m,12m
2001-09-21,gamma0,0.00054189992208891,6m,1m,12m
2001-09-24,gamma0,0.00042646993695033466,6m,1m,12m
