date,factor,long_maturity,short_maturity,spread,spread_label
2000-06-07,gamma0,6m,1m,0.00440510218772075,gamma0__6m__1m
2000-06-07,gamma0,12m,1m,0.009559917699750758,gamma0__12m__1m
2000-06-07,gamma0,12m,6m,0.005154815512030009,gamma0__12m__6m
2000-06-08,gamma0,6m,1m,0.0002520062314390892,gamma0__6m__1m
2000-06-08,gamma0,12m,1m,0.003907320793534341,gamma0__12m__1m
2000-06-08,gamma0,12m,6m,0.003655314562095252,gamma0__12m__6m
2000-06-09,gamma0,6m,1m,-0.0006740913105821866,gamma0__6m__1m
2000-06-09,gamma0,12m,1m,0.005867792830427099,gamma0__12m__1m
2000-06-09,gamma0,12m,6m,0.006541884141009285,gamma0__12m__6m
2000-06-12,gamma0,12m,6m,0.003059094072679014,gamma0__12m__6m
2000-06-13,gamma0,12m,6m,0.007098039473346307,gamma0__12m__6m
2000-06-14,gamma0,12m,6m,0.004996076736333649,gamma0__12m__6m
2000-06-15,gamma0,12m,6m,0.009530740150605066,gamma0__12m__6m
2000-06-16,gamma0,12m,6m,0.008249261236144584,gamma0__12m__6m
2000-06-19,gamma0,12m,6m,0.0038181784151620213,gamma0__12m__6m
2000-06-20,gamma0,12m,6m,0.008022834581305122,gamma0__12m__6m
2000-06-21,gamma0,6m,1m,0.011124110327004222,gamma0__6m__1m
2000-06-21,gamma0,12m,1m,0.02145402730836632,gamma0__12m__1m
2000-06-21,gamma0,12m,6m,0.010329916981362097,gamma0__12m__6m
2000-06-22,gamma0,6m,1m,0.0073902586461310205,gamma0__6m__1m
2000-06-22,gamma0,12m,1m,0.016495426112829642,gamma0__12m__1m
2000-06-22,gamma0,12m,6m,0.009105167466698622,gamma0__12m__6m
2000-06-23,gamma0,6m,1m,0.009841845558441198,gamma0__6m__1m
2000-06-23,gamma0,12m,1m,0.02041213605030462,gamma0__12m__1m
2000-06-23,gamma0,12m,6m,0.010570290491863421,gamma0__12m__6m
2000-06-26,gamma0,6m,1m,0.011074131693675077,gamma0__6m__1m
2000-06-26,gamma0,12m,1m,0.018798996171904336,gamma0__12m__1m
2000-06-26,gamma0,12m,6m,0.00772486447822926,gamma0__12m__6m
2000-06-27,gamma0,6m,1m,0.01905604029386332,gamma0__6m__1m
2000-06-27,gamma0,12m,1m,0.025574858728859756,gamma0__12m__1m
2000-06-27,gamma0,12m,6m,0.006518818434996437,gamma0__12m__6m
2000-06-28,gamma0,6m,1m,0.02242063247517484,gamma0__6m__1m
2000-06-28,gamma0,12m,1m,0.03567480978896995,gamma0__12m__1m
2000-06-28,gamma0,12m,6m,0.013254177313795107,gamma0__12m__6m
2000-06-29,gamma0,6m,1m,0.02600939789924092,gamma0__6m__1m
2000-06-29,gamma0,12m,1m,0.03816920604025986,gamma0__12m__1m
2000-06-29,gamma0,12m,6m,0.01215980814101894,gamma0__12m__6m
2000-06-30,gamma0,6m,1m,0.023095325439608377,gamma0__6m__1m
2000-06-30,gamma0,12m,1m,0.035627189615727806,gamma0__12m__1m
2000-06-30,gamma0,12m,6m,0.012531864176119428,gamma0__12m__6m
2000-07-03,gamma0,6m,1m,0.0180714185587674,gamma0__6m__1m
2000-07-03,gamma0,12m,1m,0.02705191901374554,gamma0__12m__1m
2000-07-03,gamma0,12m,6m,0.008980500454978141,gamma0__12m__6m
2000-07-05,gamma0,6m,1m,0.00806322815679511,gamma0__6m__1m
2000-07-05,gamma0,12m,1m,0.019638946926624434,gamma0__12m__1m
2000-07-05,gamma0,12m,6m,0.011575718769829324,gamma0__12m__6m
2000-07-06,gamma0,6m,1m,0.01021445853898259,gamma0__6m__1m
2000-07-06,gamma0,12m,1m,0.020986904267589257,gamma0__12m__1m
2000-07-06,gamma0,12m,6m,0.010772445728606667,gamma0__12m__6m
2000-07-07,gamma0,6m,1m,0.020003933180211042,gamma0__6m__1m
2000-07-07,gamma0,12m,1m,0.034661421825698924,gamma0__12m__1m
2000-07-07,gamma0,12m,6m,0.014657488645487882,gamma0__12m__6m
2000-07-10,gamma0,6m,1m,0.012890478237379155,gamma0__6m__1m
2000-07-10,gamma0,12m,1m,0.023955168665175053,gamma0__12m__1m
2000-07-10,gamma0,12m,6m,0.011064690427795898,gamma0__12m__6m
2000-07-11,gamma0,6m,1m,0.011850769143870205,gamma0__6m__1m
2000-07-11,gamma0,12m,1m,0.02497488802492645,gamma0__12m__1m
2000-07-11,gamma0,12m,6m,0.013124118881056246,gamma0__12m__6m
2000-07-12,gamma0,6m,1m,0.008433315440044248,gamma0__6m__1m
2000-07-12,gamma0,12m,1m,0.021751303541407363,gamma0__12m__1m
2000-07-12,gamma0,12m,6m,0.013317988101363115,gamma0__12m__6m
2000-07-13,gamma0,6m,1m,0.008134856730577705,gamma0__6m__1m
2000-07-13,gamma0,12m,1m,0.02106777038557589,gamma0__12m__1m
2000-07-13,gamma0,12m,6m,0.012932913654998185,gamma0__12m__6m
2000-07-14,gamma0,6m,1m,0.011258156796867841,gamma0__6m__1m
