This file contains the synthetic VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,
The dates are in YYYYMMDD format,,,,,,
r_K^{var. swap} gives the daily return of a constant-maturity variance swap with target maturity K months,,,,,,
Returns are in percent,,,,,,
,,,,,,
Date,r_1^{var. swap},r_2^{var. swap},r_3^{var. swap},r_6^{var. swap},r_9^{var. swap},r_12^{var. swap}
19970523,-6.65,-4.32,-3.21,-2.943,-1.293,-1.592
19970527,0.493,-1.182,-1.977,0.695,-0.05,-1.092
19970528,-3.255,-1.006,1.021,-0.728,1.655,2.06
19970529,-4.698,1.113,2.292,0.633,0.461,0.403
19970530,-0.215,-3.435,-4.551,-1.531,-0.782,-0.706
19970602,-4.655,2.026,2.772,-0.2,0.172,0.792
19970603,-3.451,-1.195,-0.756,-0.145,0.095,0.793
19970604,-3.066,-0.611,0.387,-0.155,-0.679,-0.048
19970605,-0.311,-2.319,-2.608,-1.156,0.157,-0.855
19970606,0.762,-8.181,-4.922,1.112,1.432,-3.203
19970609,-7.25,-1.916,-1.52,-0.037,0.743,1.451
19970610,-7.859,-4.304,-1.227,-0.113,-0.421,-1.469
19970611,-3.076,-1.875,-0.837,0.026,-0.704,-0.434
19970612,12.024,-5.996,0.171,3.38,3.105,-2.535
19970613,1.955,3.58,6.002,4.872,5.958,4.325
19970616,-9.386,-4.391,-3.544,0.361,0.693,0.356
19970617,-4.673,-2.781,-0.826,-2.707,-0.514,1.183
19970618,-0.969,-2.913,-0.901,-0.644,-2.126,0.699
19970619,-1.618,-1.774,-1.004,-1.391,-0.754,-3.011
19970620,-5.92,-1.267,-0.345,1.519,0.903,2.741
19970623,20.908,22.442,14.798,3.954,9.755,10.332
19970624,7.443,-4.088,-1.581,-0.516,-4.513,-8.393
19970625,3.609,7.012,3.314,2.486,1.204,6.101
19970626,-1.965,1.395,3.226,1.849,1.68,1.015
19970627,-7.026,-2.826,-1.767,-0.969,-0.246,-0.351
19970630,-1.277,0.466,-3.257,1.21,0.8,2.354
19970701,-0.944,-3.182,-3.253,-1.828,-2.291,-2.29
19970702,-6.183,-2.746,-7.509,-2.822,-1.831,-2.987
19970703,-6.795,-9.188,-7.149,-4.32,-2.923,-2.593
19970707,-2.466,2.253,4.525,1.871,0.392,2.211
19970708,-2.322,-2.492,-1.086,-1.617,-0.434,-0.166
19970709,12.219,5.649,-1.591,3.936,3.186,1.953
19970710,-4.305,1.368,4.467,1.819,0.697,2.216
19970711,-12.115,-2.352,2.719,-0.757,-0.198,-0.333
19970714,-7.288,-1.995,0.363,-0.928,-0.724,-1.377
19970715,-4.355,-0.847,2.779,-0.185,-0.606,1.447
19970716,-4.519,-1.441,1.739,-2.148,-2.016,-3.382
19970717,7.569,7.324,7.072,3.823,2.941,1.374
19970718,22.668,18.4,13.99,16.896,14.428,7.901
19970721,-0.296,0.812,1.957,-1.475,-2.805,1.597
19970722,5.7,-0.364,-0.286,-0.02,0.634,1.205
19970723,-7.573,-4.324,-3.859,-2.466,-1.921,-1.872
19970724,-8.888,-3.813,0.229,-1.551,-0.969,-0.82
19970725,-6.314,-1.697,-0.902,-0.038,0.295,0.442
19970728,-0.402,-1.182,1.222,0.293,0.871,0.525
19970729,-3.674,-0.107,-1.648,0.45,1.937,3.331
19970730,-2.298,-0.582,-0.476,-0.942,-1.895,-3.104
19970731,-2.145,-0.005,1.047,0.759,1.19,1.26
19970801,-3.647,0.236,1.38,0.951,1.455,2.773
19970804,-16.299,-4.778,-0.035,-2.68,-2.488,-4.25
19970805,-14.389,-7.152,-4.191,-2.553,-1.898,-1.088
19970806,-9.524,-6.848,-6.378,-2.985,-2.245,-2.347
19970807,-8.005,-2.353,-2.111,-3.715,-2.463,-1.959
19970808,46.672,20.004,17.726,11.775,8.314,9.412
19970811,-14.848,-2.829,-1.067,-0.68,-0.538,-0.295
19970812,13.783,5.827,4.246,3.784,1.878,1.362
19970813,0.408,4.598,5.293,3.952,4.32,4.321
19970814,-13.166,-4.284,-3.094,-1.213,-0.676,-0.845
19970815,36.748,21.366,17.407,9.196,6,7.761
19970818,-9.932,-0.721,0.038,1.055,0.07,-1.164
19970819,-11.182,-10.317,-8.523,-4.619,-1.113,-1.728
19970820,-10.197,-7.538,-6.494,-5.929,-5.98,-5.522
